method_id,method_name,description,category,file_path,line_number,type
MTH-4AFE85C8,buildPieces,No description,CODE_JAVASCRIPT,build-piece.ts,6,FUNCTION
MTH-A17943CC,createActionTemplate,No description,CODE_JAVASCRIPT,create-action.ts,9,FUNCTION
MTH-967C1795,checkIfActionExists,No description,CODE_JAVASCRIPT,create-action.ts,28,FUNCTION
MTH-4F8BE2A3,createAction,No description,CODE_JAVASCRIPT,create-action.ts,34,FUNCTION
MTH-2C192E36,validatePieceName,No description,CODE_JAVASCRIPT,create-piece.ts,15,FUNCTION
MTH-9B17AEDD,validatePackageName,No description,CODE_JAVASCRIPT,create-piece.ts,28,FUNCTION
MTH-6C38C546,checkIfPieceExists,No description,CODE_JAVASCRIPT,create-piece.ts,41,FUNCTION
MTH-B742031A,nxGenerateNodeLibrary,No description,CODE_JAVASCRIPT,create-piece.ts,49,FUNCTION
MTH-4AC83D36,removeUnusedFiles,No description,CODE_JAVASCRIPT,create-piece.ts,71,FUNCTION
MTH-48BE57DD,capitalizeFirstLetter,No description,CODE_JAVASCRIPT,create-piece.ts,78,FUNCTION
MTH-70074EC2,generateIndexTsFile,No description,CODE_JAVASCRIPT,create-piece.ts,81,FUNCTION
MTH-4CF14DD4,updateProjectJsonConfig,No description,CODE_JAVASCRIPT,create-piece.ts,112,FUNCTION
MTH-DA55BF6B,addEslintFile,No description,CODE_JAVASCRIPT,create-piece.ts,159,FUNCTION
MTH-2286E7FD,setupGeneratedLibrary,No description,CODE_JAVASCRIPT,create-piece.ts,185,FUNCTION
MTH-9F1B69B8,createPiece,No description,CODE_JAVASCRIPT,create-piece.ts,192,FUNCTION
MTH-FA635EA0,createTriggerTemplate,No description,CODE_JAVASCRIPT,create-trigger.ts,13,FUNCTION
MTH-FB5FF21C,checkIfTriggerExists,No description,CODE_JAVASCRIPT,create-trigger.ts,87,FUNCTION
MTH-E7EC6EF4,createTrigger,No description,CODE_JAVASCRIPT,create-trigger.ts,93,FUNCTION
MTH-24B1EA9E,findPieceInModule,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,11,FUNCTION
MTH-91C7F545,installDependencies,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,23,FUNCTION
MTH-4C04EBC6,getPropertyValue,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,30,FUNCTION
MTH-2E8FBF0A,generateTranslationFileFromPiece,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,42,FUNCTION
MTH-CBFC55B6,generateTranslationFile,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,67,FUNCTION
MTH-25E21E59,pieces,No description,CODE_JAVASCRIPT,generate-translation-file-for-piece.ts,97,FUNCTION
MTH-63C7C2A9,publishPiece,No description,CODE_JAVASCRIPT,publish-piece.ts,9,FUNCTION
MTH-D8B0FB91,assertNullOrUndefinedOrEmpty,No description,CODE_JAVASCRIPT,publish-piece.ts,26,FUNCTION
MTH-66825678,syncPieces,No description,CODE_JAVASCRIPT,sync-pieces.ts,6,FUNCTION
