method_id,method_name,description,category,file_path,line_number,type
MTH-8E065E3C,createSESClient,No description,CODE_JAVASCRIPT,ses-utils.ts,21,FUNCTION
MTH-079B189E,getVerifiedIdentities,No description,CODE_JAVASCRIPT,ses-utils.ts,34,FUNCTION
MTH-FF0C6600,getConfigurationSets,No description,CODE_JAVASCRIPT,ses-utils.ts,72,FUNCTION
MTH-A7323A39,isValidEmail,No description,CODE_JAVASCRIPT,ses-utils.ts,91,FUNCTION
MTH-B545555F,htmlToText,No description,CODE_JAVASCRIPT,ses-utils.ts,100,FUNCTION
MTH-364A1D78,validateEmailAddresses,No description,CODE_JAVASCRIPT,ses-utils.ts,122,FUNCTION
MTH-99C6AC4B,validateRecipientLimits,No description,CODE_JAVASCRIPT,ses-utils.ts,155,FUNCTION
MTH-2F408C1F,formatEmailTags,No description,CODE_JAVASCRIPT,ses-utils.ts,177,FUNCTION
MTH-060D6983,getSESErrorMessage,No description,CODE_JAVASCRIPT,ses-utils.ts,193,FUNCTION
MTH-C2AE8745,createIdentityDropdownOptions,No description,CODE_JAVASCRIPT,ses-utils.ts,230,FUNCTION
MTH-E2C48158,createConfigSetDropdownOptions,No description,CODE_JAVASCRIPT,ses-utils.ts,256,FUNCTION
MTH-DEBFDBA7,getEmailTemplates,No description,CODE_JAVASCRIPT,ses-utils.ts,275,FUNCTION
MTH-0E672385,getEmailTemplate,No description,CODE_JAVASCRIPT,ses-utils.ts,294,FUNCTION
MTH-51470BDB,validateTemplateName,No description,CODE_JAVASCRIPT,ses-utils.ts,334,FUNCTION
MTH-1FEC652B,validateTemplateContent,No description,CODE_JAVASCRIPT,ses-utils.ts,357,FUNCTION
MTH-DFC887FF,getTemplateErrorMessage,No description,CODE_JAVASCRIPT,ses-utils.ts,378,FUNCTION
MTH-3F70FDBF,extractTemplateVariables,No description,CODE_JAVASCRIPT,ses-utils.ts,403,FUNCTION
MTH-262D5C7C,validateTemplateVariables,No description,CODE_JAVASCRIPT,ses-utils.ts,421,FUNCTION
MTH-CF6FADAC,createTemplatePreview,No description,CODE_JAVASCRIPT,ses-utils.ts,460,FUNCTION
MTH-D2F854FD,compareTemplateContent,No description,CODE_JAVASCRIPT,ses-utils.ts,480,FUNCTION
MTH-7D0F72A9,getCustomVerificationTemplates,No description,CODE_JAVASCRIPT,ses-utils.ts,536,FUNCTION
MTH-E0D1E0B2,getCustomVerificationTemplate,No description,CODE_JAVASCRIPT,ses-utils.ts,559,FUNCTION
MTH-7DA2904E,validateCustomVerificationTemplateName,No description,CODE_JAVASCRIPT,ses-utils.ts,599,FUNCTION
MTH-A4F4D150,validateURL,No description,CODE_JAVASCRIPT,ses-utils.ts,606,FUNCTION
MTH-11BDB84D,validateCustomVerificationContent,No description,CODE_JAVASCRIPT,ses-utils.ts,623,FUNCTION
MTH-986BF6F5,compareCustomVerificationContent,No description,CODE_JAVASCRIPT,ses-utils.ts,644,FUNCTION
MTH-AAED3BFB,getCustomVerificationErrorMessage,No description,CODE_JAVASCRIPT,ses-utils.ts,704,FUNCTION
MTH-1C1FCCFA,formatContentSize,No description,CODE_JAVASCRIPT,ses-utils.ts,729,FUNCTION
