method_id,method_name,description,category,file_path,line_number,type
MTH-C167453F,buildEmptyList,No description,CODE_JAVASCRIPT,props.ts,29,FUNCTION
MTH-ECD21D96,getDefaultPropertiesForObject,No description,CODE_JAVASCRIPT,props.ts,37,FUNCTION
MTH-F651478F,fetchOwnersOptions,No description,CODE_JAVASCRIPT,props.ts,58,FUNCTION
MTH-AA1800F4,fetchUsersOptions,No description,CODE_JAVASCRIPT,props.ts,78,FUNCTION
MTH-0073A2A5,fetchTeamsOptions,No description,CODE_JAVASCRIPT,props.ts,99,FUNCTION
MTH-A510CB5B,fetchCurrenciesOptions,No description,CODE_JAVASCRIPT,props.ts,115,FUNCTION
MTH-CCF66ABC,fetchBusinessUnitsOptions,No description,CODE_JAVASCRIPT,props.ts,137,FUNCTION
MTH-B065B65B,createReferencedPropertyDefinition,No description,CODE_JAVASCRIPT,props.ts,153,FUNCTION
MTH-B8DBFB0B,createPropertyDefinition,No description,CODE_JAVASCRIPT,props.ts,178,FUNCTION
MTH-962F7D9E,retrieveObjectProperties,No description,CODE_JAVASCRIPT,props.ts,263,FUNCTION
MTH-BEEB8B4A,standardObjectDynamicProperties,No description,CODE_JAVASCRIPT,props.ts,358,FUNCTION
MTH-21A08C2B,standardObjectPropertiesDropdown,No description,CODE_JAVASCRIPT,props.ts,387,FUNCTION
MTH-11A93BCC,customObjectPropertiesDropdown,No description,CODE_JAVASCRIPT,props.ts,442,FUNCTION
MTH-2D2B5F64,token,No description,CODE_JAVASCRIPT,props.ts,511,FUNCTION
MTH-48A60BD4,pipelineDropdown,No description,CODE_JAVASCRIPT,props.ts,540,FUNCTION
MTH-8C6FCEFF,pipelineStageDropdown,No description,CODE_JAVASCRIPT,props.ts,571,FUNCTION
MTH-CA2F58C5,productDropdown,No description,CODE_JAVASCRIPT,props.ts,606,FUNCTION
MTH-8935A0AE,fromObjectTypeAssociationDropdown,No description,CODE_JAVASCRIPT,props.ts,727,FUNCTION
MTH-25626150,toObjectIdsDropdown,No description,CODE_JAVASCRIPT,props.ts,791,FUNCTION
