method_id,method_name,description,category,file_path,line_number,type
MTH-68107159,sendJiraRequest,No description,CODE_JAVASCRIPT,index.ts,12,FUNCTION
MTH-40304C2E,getUsers,No description,CODE_JAVASCRIPT,index.ts,24,FUNCTION
MTH-2E7E291A,getProjects,No description,CODE_JAVASCRIPT,index.ts,37,FUNCTION
MTH-8823F382,getIssueTypes,No description,CODE_JAVASCRIPT,index.ts,49,FUNCTION
MTH-63C88F19,getPriorities,No description,CODE_JAVASCRIPT,index.ts,62,FUNCTION
MTH-AA965841,executeJql,No description,CODE_JAVASCRIPT,index.ts,72,FUNCTION
MTH-3D62A100,sanitizeResult,No description,CODE_JAVASCRIPT,index.ts,91,FUNCTION
MTH-171850CD,searchIssuesByJql,No description,CODE_JAVASCRIPT,index.ts,126,FUNCTION
MTH-29DE0DE3,respJql,No description,CODE_JAVASCRIPT,index.ts,137,FUNCTION
MTH-24DACFDF,createJiraIssue,No description,CODE_JAVASCRIPT,index.ts,167,FUNCTION
MTH-864A5B6F,updateJiraIssue,No description,CODE_JAVASCRIPT,index.ts,211,FUNCTION
MTH-F1F4E059,getProjectIdDropdown,No description,CODE_JAVASCRIPT,props.ts,16,FUNCTION
MTH-09ABD364,getIssueIdDropdown,No description,CODE_JAVASCRIPT,props.ts,42,FUNCTION
MTH-2B8B20C1,getIssueTypeIdDropdown,No description,CODE_JAVASCRIPT,props.ts,91,FUNCTION
MTH-2FF5D2A3,getUsersDropdown,No description,CODE_JAVASCRIPT,props.ts,120,FUNCTION
MTH-FF399655,users,No description,CODE_JAVASCRIPT,props.ts,133,FUNCTION
MTH-B630ABC4,fetchGroupsOptions,No description,CODE_JAVASCRIPT,props.ts,168,FUNCTION
MTH-DD2B1230,fetchProjectVersionsOptions,No description,CODE_JAVASCRIPT,props.ts,188,FUNCTION
MTH-7D48D81A,fetchUsersOptions,No description,CODE_JAVASCRIPT,props.ts,209,FUNCTION
MTH-9AB16587,response,No description,CODE_JAVASCRIPT,props.ts,210,FUNCTION
MTH-9B0D1907,issueTypeIdProp,No description,CODE_JAVASCRIPT,props.ts,228,FUNCTION
MTH-71577143,issueLinkTypeIdProp,No description,CODE_JAVASCRIPT,props.ts,266,FUNCTION
MTH-206AE647,issueIdOrKeyProp,No description,CODE_JAVASCRIPT,props.ts,303,FUNCTION
MTH-28EF5391,issueStatusIdProp,No description,CODE_JAVASCRIPT,props.ts,341,FUNCTION
MTH-DE717C50,createPropertyDefinition,No description,CODE_JAVASCRIPT,props.ts,378,FUNCTION
MTH-0A1F4C50,parseArray,No description,CODE_JAVASCRIPT,props.ts,537,FUNCTION
MTH-9173ECE0,formatIssueFields,No description,CODE_JAVASCRIPT,props.ts,557,FUNCTION
MTH-5E2AB328,transformCustomFields,No description,CODE_JAVASCRIPT,props.ts,645,FUNCTION
