method_id,method_name,description,category,file_path,line_number,type
MTH-2448DEE9,getEmailOpenEventSummary,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,14,FUNCTION
MTH-3894E26B,extractLocationData,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,30,FUNCTION
MTH-4723A4CC,extractDeviceInfo,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,42,FUNCTION
MTH-363E766A,calculateEngagementMetrics,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,61,FUNCTION
MTH-EF913D37,assessEngagementLevel,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,71,FUNCTION
MTH-2B804604,identifyAutomationOpportunities,No description,CODE_JAVASCRIPT,email-opened-trigger.ts,81,FUNCTION
MTH-10820E1F,getLinkClickEventSummary,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,14,FUNCTION
MTH-A070D7A5,extractLocationData,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,37,FUNCTION
MTH-7F7F5E0A,extractDeviceInfo,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,49,FUNCTION
MTH-74E63618,calculateClickMetrics,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,68,FUNCTION
MTH-8FD57B5C,assessClickEngagementLevel,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,79,FUNCTION
MTH-72BE414C,identifyClickAutomationOpportunities,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,89,FUNCTION
MTH-9B8DE860,assessConversionPotential,No description,CODE_JAVASCRIPT,link-clicked-trigger.ts,111,FUNCTION
MTH-36AD9936,getCampaignEventSummary,No description,CODE_JAVASCRIPT,new-campaign-trigger.ts,14,FUNCTION
MTH-56CF69EB,inferCampaignType,No description,CODE_JAVASCRIPT,new-campaign-trigger.ts,30,FUNCTION
MTH-3C62C956,assessDeliveryStatus,No description,CODE_JAVASCRIPT,new-campaign-trigger.ts,38,FUNCTION
MTH-6CB8E566,getNewCustomerEventSummary,No description,CODE_JAVASCRIPT,new-customer-trigger.ts,13,FUNCTION
MTH-574C6702,extractCustomerAddress,No description,CODE_JAVASCRIPT,new-customer-trigger.ts,32,FUNCTION
MTH-F8BEB1B1,assessCustomerValue,No description,CODE_JAVASCRIPT,new-customer-trigger.ts,61,FUNCTION
MTH-8610EEB7,identifyCustomerOpportunities,No description,CODE_JAVASCRIPT,new-customer-trigger.ts,70,FUNCTION
MTH-C3205951,assessMarketingPotential,No description,CODE_JAVASCRIPT,new-customer-trigger.ts,92,FUNCTION
MTH-2595C431,getNewOrderEventSummary,No description,CODE_JAVASCRIPT,new-order-trigger.ts,13,FUNCTION
MTH-5C4B1F92,extractOrderItems,No description,CODE_JAVASCRIPT,new-order-trigger.ts,31,FUNCTION
MTH-0427EAA2,extractOrderAddress,No description,CODE_JAVASCRIPT,new-order-trigger.ts,46,FUNCTION
MTH-CB1C9897,assessOrderValue,No description,CODE_JAVASCRIPT,new-order-trigger.ts,75,FUNCTION
MTH-45C74226,identifyOrderOpportunities,No description,CODE_JAVASCRIPT,new-order-trigger.ts,84,FUNCTION
MTH-23024759,calculateOrderMetrics,No description,CODE_JAVASCRIPT,new-order-trigger.ts,110,FUNCTION
MTH-3055ADD1,getSegmentTagEventSummary,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,15,FUNCTION
MTH-201F23B7,extractSegmentInfo,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,34,FUNCTION
MTH-C723A360,extractTagInfo,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,47,FUNCTION
MTH-3221DB3B,assessSegmentEngagement,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,59,FUNCTION
MTH-9B1D5E82,identifySegmentOpportunities,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,69,FUNCTION
MTH-112A4CE7,calculateSegmentMetrics,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,95,FUNCTION
MTH-9BDE5533,getEventCategory,No description,CODE_JAVASCRIPT,new-segment-tag-subscriber-trigger.ts,106,FUNCTION
MTH-A74730DF,getSubscribeEventSummary,No description,CODE_JAVASCRIPT,subscribe-trigger.ts,14,FUNCTION
MTH-A1A09120,getEventCategory,No description,CODE_JAVASCRIPT,subscriber-updated-trigger.ts,13,FUNCTION
MTH-B106F94B,getSubscriberSummary,No description,CODE_JAVASCRIPT,subscriber-updated-trigger.ts,28,FUNCTION
MTH-F62C4795,getUnsubscribeEventSummary,No description,CODE_JAVASCRIPT,unsubscribe-trigger.ts,13,FUNCTION
MTH-EB722EA2,calculateSubscriberLifetime,No description,CODE_JAVASCRIPT,unsubscribe-trigger.ts,40,FUNCTION
MTH-1E12AC8F,assessEngagementLevel,No description,CODE_JAVASCRIPT,unsubscribe-trigger.ts,53,FUNCTION
MTH-CC347631,identifyChurnFactors,No description,CODE_JAVASCRIPT,unsubscribe-trigger.ts,62,FUNCTION
