method_id,method_name,description,category,file_path,line_number,type
MTH-C19C7FF5,getBaseUrl,No description,CODE_JAVASCRIPT,index.ts,23,FUNCTION
MTH-5841B1B2,sendShopifyRequest,No description,CODE_JAVASCRIPT,index.ts,27,FUNCTION
MTH-D7CBF6C8,createCustomer,No description,CODE_JAVASCRIPT,index.ts,45,FUNCTION
MTH-1A90C04F,getCustomer,No description,CODE_JAVASCRIPT,index.ts,61,FUNCTION
MTH-D8A3CBAB,getCustomers,No description,CODE_JAVASCRIPT,index.ts,74,FUNCTION
MTH-726978A0,updateCustomer,No description,CODE_JAVASCRIPT,index.ts,115,FUNCTION
MTH-242863A4,getCustomerOrders,No description,CODE_JAVASCRIPT,index.ts,132,FUNCTION
MTH-737FC8FE,getProducts,No description,CODE_JAVASCRIPT,index.ts,145,FUNCTION
MTH-21D5EAC0,createProduct,No description,CODE_JAVASCRIPT,index.ts,200,FUNCTION
MTH-0C7CA0A2,updateProduct,No description,CODE_JAVASCRIPT,index.ts,216,FUNCTION
MTH-3158D0E9,createDraftOrder,No description,CODE_JAVASCRIPT,index.ts,233,FUNCTION
MTH-99D511D1,createOrder,No description,CODE_JAVASCRIPT,index.ts,249,FUNCTION
MTH-8674FFE0,updateOrder,No description,CODE_JAVASCRIPT,index.ts,265,FUNCTION
MTH-69A80A79,createTransaction,No description,CODE_JAVASCRIPT,index.ts,282,FUNCTION
MTH-4A255E1B,getTransaction,No description,CODE_JAVASCRIPT,index.ts,299,FUNCTION
MTH-CA5E1959,getTransactions,No description,CODE_JAVASCRIPT,index.ts,313,FUNCTION
MTH-B3C20F37,getFulfillments,No description,CODE_JAVASCRIPT,index.ts,326,FUNCTION
MTH-8231F9EB,getFulfillment,No description,CODE_JAVASCRIPT,index.ts,339,FUNCTION
MTH-417B6C80,getLocations,No description,CODE_JAVASCRIPT,index.ts,353,FUNCTION
MTH-D00DCFAC,createFulfillmentEvent,No description,CODE_JAVASCRIPT,index.ts,363,FUNCTION
MTH-D044A697,closeOrder,No description,CODE_JAVASCRIPT,index.ts,382,FUNCTION
MTH-2D00DF51,cancelOrder,No description,CODE_JAVASCRIPT,index.ts,396,FUNCTION
MTH-2215D9FD,adjustInventoryLevel,No description,CODE_JAVASCRIPT,index.ts,410,FUNCTION
MTH-5AFA458F,createCollect,No description,CODE_JAVASCRIPT,index.ts,430,FUNCTION
MTH-129E286D,getAsset,No description,CODE_JAVASCRIPT,index.ts,446,FUNCTION
MTH-961196EF,getProductVariant,No description,CODE_JAVASCRIPT,index.ts,463,FUNCTION
MTH-B6D28DBB,getProduct,No description,CODE_JAVASCRIPT,index.ts,476,FUNCTION
MTH-43AF8E82,createProductImage,No description,CODE_JAVASCRIPT,index.ts,489,FUNCTION
MTH-04960E32,getAbandonedCheckouts,No description,CODE_JAVASCRIPT,index.ts,506,FUNCTION
MTH-8B99C954,createShopifyWebhookTrigger,No description,CODE_JAVASCRIPT,register-webhook.ts,9,FUNCTION
