method_id,method_name,description,category,file_path,line_number,type
MTH-99E9DD44,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-bank-transaction.ts,17,FUNCTION
MTH-F0793962,pageSize,No description,CODE_JAVASCRIPT,new-bank-transaction.ts,38,FUNCTION
MTH-FA3BB22C,types,No description,CODE_JAVASCRIPT,new-bank-transaction.ts,39,FUNCTION
MTH-C6796799,statuses,No description,CODE_JAVASCRIPT,new-bank-transaction.ts,40,FUNCTION
MTH-25629CC7,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-bill.ts,17,FUNCTION
MTH-B7E968E3,pageSize,No description,CODE_JAVASCRIPT,new-bill.ts,38,FUNCTION
MTH-CF57816E,statuses,No description,CODE_JAVASCRIPT,new-bill.ts,39,FUNCTION
MTH-0424556F,items,No description,CODE_JAVASCRIPT,new-bill.ts,155,FUNCTION
MTH-6082C96E,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-credit-note.ts,17,FUNCTION
MTH-758F6F95,pageSize,No description,CODE_JAVASCRIPT,new-credit-note.ts,38,FUNCTION
MTH-DBCC69E7,types,No description,CODE_JAVASCRIPT,new-credit-note.ts,39,FUNCTION
MTH-FF1683A2,statuses,No description,CODE_JAVASCRIPT,new-credit-note.ts,40,FUNCTION
MTH-11CC6F44,items,No description,CODE_JAVASCRIPT,new-credit-note.ts,159,FUNCTION
MTH-2AEFBABE,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-payment.ts,17,FUNCTION
MTH-34A3C561,pageSize,No description,CODE_JAVASCRIPT,new-payment.ts,38,FUNCTION
MTH-22353675,paymentTypes,No description,CODE_JAVASCRIPT,new-payment.ts,39,FUNCTION
MTH-6291BA4A,statuses,No description,CODE_JAVASCRIPT,new-payment.ts,40,FUNCTION
MTH-17483F5E,pageSize,No description,CODE_JAVASCRIPT,new-project.ts,25,FUNCTION
MTH-AE4547E4,states,No description,CODE_JAVASCRIPT,new-project.ts,27,FUNCTION
MTH-A42177B0,items,No description,CODE_JAVASCRIPT,new-project.ts,105,FUNCTION
MTH-225F55D2,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-purchase-order.ts,17,FUNCTION
MTH-A62CF1AC,pageSize,No description,CODE_JAVASCRIPT,new-purchase-order.ts,38,FUNCTION
MTH-80A59152,statuses,No description,CODE_JAVASCRIPT,new-purchase-order.ts,39,FUNCTION
MTH-04624A83,items,No description,CODE_JAVASCRIPT,new-purchase-order.ts,163,FUNCTION
MTH-A7F74C8F,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-quote.ts,17,FUNCTION
MTH-E282E66F,pageSize,No description,CODE_JAVASCRIPT,new-quote.ts,38,FUNCTION
MTH-58DC71F7,statuses,No description,CODE_JAVASCRIPT,new-quote.ts,39,FUNCTION
MTH-A30F422F,items,No description,CODE_JAVASCRIPT,new-quote.ts,144,FUNCTION
MTH-3FC1F208,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,new-reconciled-payment.ts,17,FUNCTION
MTH-C2EAB0B3,pageSize,No description,CODE_JAVASCRIPT,new-reconciled-payment.ts,38,FUNCTION
MTH-FCDD34B5,paymentTypes,No description,CODE_JAVASCRIPT,new-reconciled-payment.ts,39,FUNCTION
MTH-C2DBEE1E,statuses,No description,CODE_JAVASCRIPT,new-reconciled-payment.ts,40,FUNCTION
MTH-85BD7FE6,items,No description,CODE_JAVASCRIPT,new-reconciled-payment.ts,159,FUNCTION
MTH-EE1D5F52,parseXeroDateToEpoch,No description,CODE_JAVASCRIPT,updated-quote.ts,17,FUNCTION
MTH-44FF1ED5,pageSize,No description,CODE_JAVASCRIPT,updated-quote.ts,38,FUNCTION
MTH-06FAB234,statuses,No description,CODE_JAVASCRIPT,updated-quote.ts,39,FUNCTION
MTH-DE69E740,items,No description,CODE_JAVASCRIPT,updated-quote.ts,144,FUNCTION
