method_id,method_name,description,category,file_path,line_number,type
MTH-1C2899E3,resolveUserByEmail,No description,CODE_JAVASCRIPT,add-comment-to-ticket.ts,70,FUNCTION
MTH-36B8A9CD,users,No description,CODE_JAVASCRIPT,add-comment-to-ticket.ts,86,FUNCTION
MTH-94FA81C7,errorMessage,No description,CODE_JAVASCRIPT,add-comment-to-ticket.ts,158,FUNCTION
MTH-40A6F055,errorMessage,No description,CODE_JAVASCRIPT,add-tag-to-ticket.ts,86,FUNCTION
MTH-A1A098FA,fields,No description,CODE_JAVASCRIPT,create-organization.ts,75,FUNCTION
MTH-B603F47E,fieldDefinitions,No description,CODE_JAVASCRIPT,create-organization.ts,246,FUNCTION
MTH-044E56FD,errorMessage,No description,CODE_JAVASCRIPT,create-organization.ts,301,FUNCTION
MTH-1908D2E2,fields,No description,CODE_JAVASCRIPT,create-ticket.ts,151,FUNCTION
MTH-9B0232BF,resolveUserByEmail,No description,CODE_JAVASCRIPT,create-ticket.ts,337,FUNCTION
MTH-87A84649,users,No description,CODE_JAVASCRIPT,create-ticket.ts,349,FUNCTION
MTH-AD1EF8B4,fieldDefinitions,No description,CODE_JAVASCRIPT,create-ticket.ts,436,FUNCTION
MTH-6BDB080B,errorMessage,No description,CODE_JAVASCRIPT,create-ticket.ts,489,FUNCTION
MTH-E1C3BC4D,fields,No description,CODE_JAVASCRIPT,create-user.ts,198,FUNCTION
MTH-5A80EBD4,defs,No description,CODE_JAVASCRIPT,create-user.ts,438,FUNCTION
MTH-4B91B1A3,errorMessage,No description,CODE_JAVASCRIPT,create-user.ts,516,FUNCTION
MTH-CA5E582D,errorMessage,No description,CODE_JAVASCRIPT,delete-user.ts,62,FUNCTION
MTH-3960215A,errorMessage,No description,CODE_JAVASCRIPT,find-organization.ts,201,FUNCTION
MTH-5FCF22BD,errorMessage,No description,CODE_JAVASCRIPT,find-tickets.ts,269,FUNCTION
MTH-F9D4FED0,errorMessage,No description,CODE_JAVASCRIPT,find-user.ts,228,FUNCTION
MTH-935DECA5,fields,No description,CODE_JAVASCRIPT,update-organization.ts,79,FUNCTION
MTH-1DEF1C62,fieldDefinitions,No description,CODE_JAVASCRIPT,update-organization.ts,253,FUNCTION
MTH-F0EB7171,errorMessage,No description,CODE_JAVASCRIPT,update-organization.ts,312,FUNCTION
MTH-3CEED974,fields,No description,CODE_JAVASCRIPT,update-ticket.ts,143,FUNCTION
MTH-A61657D8,resolveUserByEmail,No description,CODE_JAVASCRIPT,update-ticket.ts,334,FUNCTION
MTH-A543F57C,users,No description,CODE_JAVASCRIPT,update-ticket.ts,350,FUNCTION
MTH-36CD83C0,fieldDefinitions,No description,CODE_JAVASCRIPT,update-ticket.ts,468,FUNCTION
MTH-DEFD18BD,errorMessage,No description,CODE_JAVASCRIPT,update-ticket.ts,525,FUNCTION
