method_id,method_name,description,category,file_path,line_number,type
MTH-D858CE05,AgentPreviewSection,No description,CODE_JAVASCRIPT,agent-preview-section.tsx,17,FUNCTION
MTH-DFF8087A,handleTestAgent,No description,CODE_JAVASCRIPT,agent-preview-section.tsx,26,FUNCTION
MTH-EFAAD3B2,handleClosePreview,No description,CODE_JAVASCRIPT,agent-preview-section.tsx,46,FUNCTION
MTH-090E8083,AgentRunDrawer,No description,CODE_JAVASCRIPT,agent-run-drawer.tsx,22,FUNCTION
MTH-CE9BF978,AgentRunsTable,No description,CODE_JAVASCRIPT,agent-runs-table.tsx,20,FUNCTION
MTH-EF3FEB2A,handleRowClick,No description,CODE_JAVASCRIPT,agent-runs-table.tsx,95,FUNCTION
MTH-A6755457,AgentToolSection,No description,CODE_JAVASCRIPT,agent-tool-section.tsx,8,FUNCTION
MTH-794D6A15,AgentBuilder,No description,CODE_JAVASCRIPT,index.tsx,42,FUNCTION
MTH-852860AC,AgentBuilderContent,No description,CODE_JAVASCRIPT,index.tsx,73,FUNCTION
MTH-0FB676EE,LinkedFlowsSection,No description,CODE_JAVASCRIPT,linked-flows-section.tsx,108,FUNCTION
