method_id,method_name,description,category,file_path,line_number,type
MTH-37EB0D56,ApAvatar,No description,CODE_JAVASCRIPT,ap-avatar.tsx,19,FUNCTION
MTH-66A1ED2F,renderAvatar,No description,CODE_JAVASCRIPT,ap-avatar.tsx,28,FUNCTION
MTH-9A1436B9,content,No description,CODE_JAVASCRIPT,ap-avatar.tsx,65,FUNCTION
MTH-FD93DC51,ApSidebarToggle,No description,CODE_JAVASCRIPT,ap-sidebar-toggle.tsx,12,FUNCTION
MTH-6EDB182F,updateFormValue,No description,CODE_JAVASCRIPT,array-input.tsx,57,FUNCTION
MTH-3B275CCD,append,No description,CODE_JAVASCRIPT,array-input.tsx,65,FUNCTION
MTH-BDE321F1,remove,No description,CODE_JAVASCRIPT,array-input.tsx,79,FUNCTION
MTH-A194C7B7,move,No description,CODE_JAVASCRIPT,array-input.tsx,91,FUNCTION
MTH-C145C2B3,updateFieldValue,No description,CODE_JAVASCRIPT,array-input.tsx,99,FUNCTION
MTH-B1282F42,BetaBadge,No description,CODE_JAVASCRIPT,beta-badge.tsx,16,FUNCTION
MTH-BAE250CC,badge,No description,CODE_JAVASCRIPT,beta-badge.tsx,21,FUNCTION
MTH-D12603A3,ButtonWithTooltip,No description,CODE_JAVASCRIPT,button-with-tooltip.tsx,26,FUNCTION
MTH-962B625C,radius,No description,CODE_JAVASCRIPT,circular-icon.tsx,14,FUNCTION
MTH-B4B25635,DashboardPageHeader,No description,CODE_JAVASCRIPT,dashboard-page-header.tsx,10,FUNCTION
MTH-31A98EDB,DownloadButton,No description,CODE_JAVASCRIPT,download-button.tsx,15,FUNCTION
MTH-9AAE538C,downloadFile,No description,CODE_JAVASCRIPT,download-button.tsx,22,FUNCTION
MTH-2A7AB947,convertToString,No description,CODE_JAVASCRIPT,json-editor.tsx,20,FUNCTION
MTH-D66E365D,tryParseJson,No description,CODE_JAVASCRIPT,json-editor.tsx,27,FUNCTION
MTH-B865990E,applyVariables,No description,CODE_JAVASCRIPT,markdown.tsx,16,FUNCTION
MTH-7C60C871,Container,No description,CODE_JAVASCRIPT,markdown.tsx,35,FUNCTION
MTH-63F3FCCD,MultiSelectPieceProperty,No description,CODE_JAVASCRIPT,multi-select-piece-property.tsx,37,FUNCTION
MTH-36CF406E,sendChanges,No description,CODE_JAVASCRIPT,multi-select-piece-property.tsx,73,FUNCTION
MTH-E267CEAA,useMultiSelect,No description,CODE_JAVASCRIPT,multi-select.tsx,63,FUNCTION
MTH-4770F018,PreventClick,No description,CODE_JAVASCRIPT,multi-select.tsx,210,FUNCTION
MTH-50E45B6B,el,No description,CODE_JAVASCRIPT,multi-select.tsx,333,FUNCTION
MTH-066747A1,handleClick,No description,CODE_JAVASCRIPT,multi-select.tsx,527,FUNCTION
MTH-32B99C5E,useOpenState,No description,CODE_JAVASCRIPT,searchable-select.tsx,56,FUNCTION
MTH-E2D06FF3,onSelect,No description,CODE_JAVASCRIPT,searchable-select.tsx,114,FUNCTION
MTH-93C25AF8,SelectUtilButton,No description,CODE_JAVASCRIPT,select-util-button.tsx,7,FUNCTION
MTH-25AC1B24,TutorialsDialog,No description,CODE_JAVASCRIPT,tutorials-dialog.tsx,37,FUNCTION
