method_id,method_name,description,category,file_path,line_number,type
MTH-91873B77,Accordion,No description,CODE_JAVASCRIPT,accordion.tsx,9,FUNCTION
MTH-FC3F68E7,onSelectItem,No description,CODE_JAVASCRIPT,autocomplete.tsx,37,FUNCTION
MTH-58FE6699,Badge,No description,CODE_JAVASCRIPT,badge.tsx,29,FUNCTION
MTH-CCFCB782,BreadcrumbSeparator,No description,CODE_JAVASCRIPT,breadcrumb.tsx,75,FUNCTION
MTH-221DB451,BreadcrumbEllipsis,No description,CODE_JAVASCRIPT,breadcrumb.tsx,91,FUNCTION
MTH-2783A51E,handleKeyDown,No description,CODE_JAVASCRIPT,button.tsx,87,FUNCTION
MTH-6FC7A9B7,Calendar,No description,CODE_JAVASCRIPT,calendar.tsx,14,FUNCTION
MTH-CF440BBD,useCarousel,No description,CODE_JAVASCRIPT,carousel.tsx,35,FUNCTION
MTH-25F218AF,useChart,No description,CODE_JAVASCRIPT,chart.tsx,27,FUNCTION
MTH-1EDC386C,ChartStyle,No description,CODE_JAVASCRIPT,chart.tsx,70,FUNCTION
MTH-E255F123,getPayloadConfigFromPayload,Helper to extract item config from a payload.,CODE_JAVASCRIPT,chart.tsx,320,FUNCTION
MTH-7AA2645D,CommandDialog,No description,CODE_JAVASCRIPT,command.tsx,26,FUNCTION
MTH-C70DE829,CommandShortcut,No description,CODE_JAVASCRIPT,command.tsx,134,FUNCTION
MTH-2AEFE557,ContextMenuShortcut,No description,CODE_JAVASCRIPT,context-menu.tsx,168,FUNCTION
MTH-7A0B3B20,applyTimeToDate,No description,CODE_JAVASCRIPT,date-time-picker-range.tsx,38,FUNCTION
MTH-0ACD83E1,getStartToEndDayTime,No description,CODE_JAVASCRIPT,date-time-picker-range.tsx,59,FUNCTION
MTH-083D1F65,DateTimePickerWithRange,No description,CODE_JAVASCRIPT,date-time-picker-range.tsx,84,FUNCTION
MTH-B58B7249,handleSelect,No description,CODE_JAVASCRIPT,date-time-picker-range.tsx,102,FUNCTION
MTH-E3D6E03E,handlePresetChange,No description,CODE_JAVASCRIPT,date-time-picker-range.tsx,138,FUNCTION
MTH-C40236FC,DialogHeader,No description,CODE_JAVASCRIPT,dialog.tsx,70,FUNCTION
MTH-F2FD3E3D,DialogFooter,No description,CODE_JAVASCRIPT,dialog.tsx,84,FUNCTION
MTH-98E30785,Drawer,No description,CODE_JAVASCRIPT,drawer.tsx,13,FUNCTION
MTH-9FB1DD01,handleKeyDown,No description,CODE_JAVASCRIPT,drawer.tsx,23,FUNCTION
MTH-3516039F,DrawerTrigger,No description,CODE_JAVASCRIPT,drawer.tsx,41,FUNCTION
MTH-1444CD81,DrawerPortal,No description,CODE_JAVASCRIPT,drawer.tsx,47,FUNCTION
MTH-3D8DB3CF,DrawerClose,No description,CODE_JAVASCRIPT,drawer.tsx,53,FUNCTION
MTH-BD24EF04,DrawerContent,No description,CODE_JAVASCRIPT,drawer.tsx,59,FUNCTION
MTH-A11ABEEC,DrawerHeader,No description,CODE_JAVASCRIPT,drawer.tsx,98,FUNCTION
MTH-DADE3077,DrawerFooter,No description,CODE_JAVASCRIPT,drawer.tsx,111,FUNCTION
