method_id,method_name,description,category,file_path,line_number,type
MTH-C586F588,AgentProfile,No description,CODE_JAVASCRIPT,agent-profile.tsx,13,FUNCTION
MTH-E256A19F,handleClick,No description,CODE_JAVASCRIPT,agent-profile.tsx,32,FUNCTION
MTH-5B011D12,ApFieldHeader,No description,CODE_JAVASCRIPT,ap-field-header.tsx,29,FUNCTION
MTH-ACEE4165,ApTableActionsMenu,No description,CODE_JAVASCRIPT,ap-table-actions-menu.tsx,22,FUNCTION
MTH-3683D0D3,ApTableFooter,No description,CODE_JAVASCRIPT,ap-table-footer.tsx,8,FUNCTION
MTH-A6837D45,ApTableHeader,No description,CODE_JAVASCRIPT,ap-table-header.tsx,34,FUNCTION
MTH-5AF69BE1,exportTable,No description,CODE_JAVASCRIPT,ap-table-header.tsx,59,FUNCTION
MTH-C26C87A8,TableStateProviderWithTable,No description,CODE_JAVASCRIPT,ap-table-state-provider.tsx,24,FUNCTION
MTH-063C1651,ApTableStateProvider,No description,CODE_JAVASCRIPT,ap-table-state-provider.tsx,45,FUNCTION
MTH-615F3D99,CellProvider,No description,CODE_JAVASCRIPT,cell-context.tsx,37,FUNCTION
MTH-4D892B5B,focustContainer,No description,CODE_JAVASCRIPT,cell-context.tsx,53,FUNCTION
MTH-43DAE8C8,handleCellChange,No description,CODE_JAVASCRIPT,cell-context.tsx,61,FUNCTION
MTH-4CD50A74,useCellContext,No description,CODE_JAVASCRIPT,cell-context.tsx,103,FUNCTION
MTH-21747CC6,isValidDate,No description,CODE_JAVASCRIPT,date-editor.tsx,14,FUNCTION
MTH-EACC64F1,getFormattedDate,No description,CODE_JAVASCRIPT,date-editor.tsx,17,FUNCTION
MTH-AA2B1788,DateEditor,No description,CODE_JAVASCRIPT,date-editor.tsx,20,FUNCTION
MTH-D4C00F21,handleSelect,No description,CODE_JAVASCRIPT,date-editor.tsx,29,FUNCTION
MTH-952F2A0B,DropdownEditor,No description,CODE_JAVASCRIPT,dropdown-editor.tsx,10,FUNCTION
MTH-B870208F,handleChange,No description,CODE_JAVASCRIPT,dropdown-editor.tsx,21,FUNCTION
MTH-7F846E6E,EditorSelector,No description,CODE_JAVASCRIPT,editable-cell.tsx,29,FUNCTION
MTH-D6011CD8,useSetInitialFocus,No description,CODE_JAVASCRIPT,editable-cell.tsx,42,FUNCTION
MTH-97DBAAAC,EditableCell,No description,CODE_JAVASCRIPT,editable-cell.tsx,54,FUNCTION
MTH-EF49C485,handleKeyDown,No description,CODE_JAVASCRIPT,editable-cell.tsx,75,FUNCTION
MTH-E171E4D5,ApFieldActionMenuItemRenderer,No description,CODE_JAVASCRIPT,field-action-menu-item-renderer.tsx,18,FUNCTION
MTH-E00D379F,FieldsMappingControl,No description,CODE_JAVASCRIPT,fields-mapping.tsx,11,FUNCTION
MTH-F854DCE5,findFieldIdCsvIndex,No description,CODE_JAVASCRIPT,fields-mapping.tsx,35,FUNCTION
MTH-9A1589D0,handleChange,No description,CODE_JAVASCRIPT,fields-mapping.tsx,42,FUNCTION
MTH-EACE680E,ImportCsvDialog,No description,CODE_JAVASCRIPT,import-csv-dialog.tsx,45,FUNCTION
MTH-A8CD80C7,NewFieldPopup,No description,CODE_JAVASCRIPT,new-field-popup.tsx,48,FUNCTION
MTH-C1CFBD88,NumberEditor,No description,CODE_JAVASCRIPT,number-editor.tsx,7,FUNCTION
MTH-03CAB8FA,handleChange,No description,CODE_JAVASCRIPT,number-editor.tsx,11,FUNCTION
MTH-B04D4F37,RenameFieldPopoverContent,No description,CODE_JAVASCRIPT,rename-field-popovercontent.tsx,19,FUNCTION
MTH-240DDA6F,onSubmit,No description,CODE_JAVASCRIPT,rename-field-popovercontent.tsx,62,FUNCTION
MTH-3E594232,RenameTableDialog,No description,CODE_JAVASCRIPT,rename-table-dialog.tsx,35,FUNCTION
MTH-5F5173AF,SelectHeaderCell,No description,CODE_JAVASCRIPT,select-column.tsx,8,FUNCTION
MTH-D30E385E,SelectCell,No description,CODE_JAVASCRIPT,select-column.tsx,31,FUNCTION
MTH-B8B0AE8D,useTableColumns,No description,CODE_JAVASCRIPT,table-columns.tsx,30,FUNCTION
MTH-9D811D40,mapRecordsToRows,No description,CODE_JAVASCRIPT,table-columns.tsx,126,FUNCTION
MTH-8468AA44,AddRecordButton,No description,CODE_JAVASCRIPT,table-columns.tsx,152,FUNCTION
MTH-C0AD5C23,AddFieldButton,No description,CODE_JAVASCRIPT,table-columns.tsx,178,FUNCTION
MTH-8D0251BE,TextEditor,No description,CODE_JAVASCRIPT,text-editor.tsx,8,FUNCTION
