method_id,method_name,description,category,file_path,line_number,type
MTH-467E30FE,isUrlRelative,No description,CODE_JAVASCRIPT,api.ts,33,FUNCTION
MTH-006A8309,globalErrorHandler,No description,CODE_JAVASCRIPT,api.ts,37,FUNCTION
MTH-6ED3E01E,getToken,No description,CODE_JAVASCRIPT,api.ts,91,FUNCTION
MTH-A5F61ADA,getDecodedJwt,No description,CODE_JAVASCRIPT,authentication-session.ts,101,FUNCTION
MTH-99B0BEE8,hexToHslString,No description,CODE_JAVASCRIPT,color-util.ts,1,FUNCTION
MTH-AD8D3A5C,parseToHsl,No description,CODE_JAVASCRIPT,color-util.ts,8,FUNCTION
MTH-9CBA97FB,lightness,Calculate lightness,CODE_JAVASCRIPT,color-util.ts,30,FUNCTION
MTH-93BC3D2C,useNewWindow,No description,CODE_JAVASCRIPT,navigation-utils.tsx,5,FUNCTION
MTH-C328BCC5,useDefaultRedirectPath,No description,CODE_JAVASCRIPT,navigation-utils.tsx,30,FUNCTION
MTH-BB33BC14,useRedirectAfterLogin,No description,CODE_JAVASCRIPT,navigation-utils.tsx,34,FUNCTION
MTH-C2225572,useThirdPartyLogin,No description,CODE_JAVASCRIPT,oauth2-utils.ts,20,FUNCTION
MTH-1D76BAE5,openOAuth2Popup,No description,CODE_JAVASCRIPT,oauth2-utils.ts,39,FUNCTION
MTH-FB670759,openWindow,No description,CODE_JAVASCRIPT,oauth2-utils.ts,52,FUNCTION
MTH-0E8D4F39,closeOAuth2Popup,No description,CODE_JAVASCRIPT,oauth2-utils.ts,69,FUNCTION
MTH-8969A74B,generateCodeChallenge,No description,CODE_JAVASCRIPT,oauth2-utils.ts,73,FUNCTION
MTH-B48E79A7,constructUrl,No description,CODE_JAVASCRIPT,oauth2-utils.ts,82,FUNCTION
MTH-071AF240,getCode,No description,CODE_JAVASCRIPT,oauth2-utils.ts,121,FUNCTION
MTH-A9C7BE51,handler,No description,CODE_JAVASCRIPT,oauth2-utils.ts,123,FUNCTION
MTH-F175906D,cn,No description,CODE_JAVASCRIPT,utils.ts,13,FUNCTION
MTH-7163EF73,useElementSize,No description,CODE_JAVASCRIPT,utils.ts,166,FUNCTION
MTH-8E83E47E,handleResize,No description,CODE_JAVASCRIPT,utils.ts,169,FUNCTION
MTH-DF2AEF23,isStepFileUrl,No description,CODE_JAVASCRIPT,utils.ts,190,FUNCTION
MTH-1AF907EC,useTimeAgo,No description,CODE_JAVASCRIPT,utils.ts,198,FUNCTION
MTH-042E1A48,updateInterval,No description,CODE_JAVASCRIPT,utils.ts,204,FUNCTION
MTH-98D375FE,determineDefaultRoute,No description,CODE_JAVASCRIPT,utils.ts,229,FUNCTION
MTH-112F11B1,cleanLeadingSlash,No description,CODE_JAVASCRIPT,utils.ts,247,FUNCTION
MTH-D9BFFC4B,cleanTrailingSlash,No description,CODE_JAVASCRIPT,utils.ts,251,FUNCTION
MTH-D9695231,combinePaths,No description,CODE_JAVASCRIPT,utils.ts,254,FUNCTION
MTH-C4C4D66A,getBlobType,No description,CODE_JAVASCRIPT,utils.ts,266,FUNCTION
MTH-0DEDF09D,downloadFile,No description,CODE_JAVASCRIPT,utils.ts,290,FUNCTION
MTH-52871BEF,wait,No description,CODE_JAVASCRIPT,utils.ts,312,FUNCTION
MTH-CEF4B4B1,scrollToElementAndClickIt,No description,CODE_JAVASCRIPT,utils.ts,316,FUNCTION
