method_id,method_name,description,category,file_path,line_number,type
MTH-FA6AA8AF,updateStep,No description,CODE_JAVASCRIPT,1678928503715-bump-fix-piece-versions.ts,102,FUNCTION
MTH-B9E9E58A,traverseFlowInternal,No description,CODE_JAVASCRIPT,1681107443963-AddInputUiInfo.ts,56,FUNCTION
MTH-CD14C36A,getAllSteps,No description,CODE_JAVASCRIPT,1681107443963-AddInputUiInfo.ts,69,FUNCTION
MTH-276675F2,updateStep,No description,CODE_JAVASCRIPT,1683898241599-ChangeVariableSyntax.ts,65,FUNCTION
MTH-787F0D84,traverse,No description,CODE_JAVASCRIPT,1683898241599-ChangeVariableSyntax.ts,90,FUNCTION
MTH-AF8027FD,updateFlowVersions,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,75,FUNCTION
MTH-CC9F77B7,updateTriggerEvent,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,98,FUNCTION
MTH-6EB87288,updateAppConnections,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,127,FUNCTION
MTH-EFAFE007,updateAppEventRoutes,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,151,FUNCTION
MTH-48D604DA,updatePieceMetadata,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,175,FUNCTION
MTH-5926E11C,updateStep,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,194,FUNCTION
MTH-317937D2,getPackageNameForPiece,No description,CODE_JAVASCRIPT,1686138629812-unifyPieceName.ts,221,FUNCTION
MTH-E8525004,migrateProjects,No description,CODE_JAVASCRIPT,1709052740378-AddPlatformToPostgres.ts,71,FUNCTION
MTH-469F50E8,getAllSigningKeyIds,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,64,FUNCTION
MTH-87A703C5,getSigningKeyById,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,72,FUNCTION
MTH-611BD7CB,generateAuditEventForSigningKey,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,81,FUNCTION
MTH-ECBA6681,getUserEmail,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,110,FUNCTION
MTH-803D5A3E,getAllCreatedSigningKeyAuditEventIds,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,115,FUNCTION
MTH-DE0BE161,getCreatedSigningKeyAuditEventById,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,124,FUNCTION
MTH-2DF752E5,populateSigningKeyGeneratedBy,No description,CODE_JAVASCRIPT,1709669091258-move-generated-by-from-signing-key-to-audit-event-postgres.ts,133,FUNCTION
MTH-218DC53D,addColumnWithFalse,No description,CODE_JAVASCRIPT,1714145914415-AddFeaturesToPlatform.ts,42,FUNCTION
MTH-FEA3E502,insertAlertsInBatches,No description,CODE_JAVASCRIPT,1716989780835-AddAlertsEntityPostgres.ts,55,FUNCTION
MTH-2929B93D,insertBatch,No description,CODE_JAVASCRIPT,1716989780835-AddAlertsEntityPostgres.ts,69,FUNCTION
MTH-9015389A,mapToNewPermission,No description,CODE_JAVASCRIPT,1736813103505-RenameGitRepoPermission.ts,2,FUNCTION
MTH-2D7B2480,mapToOldPermission,No description,CODE_JAVASCRIPT,1736813103505-RenameGitRepoPermission.ts,12,FUNCTION
MTH-3DFA2DDA,isNil,No description,CODE_JAVASCRIPT,1748352614033-AddMcpToolEntity.ts,65,FUNCTION
MTH-0B3B1880,AddMcpPieceTools,No description,CODE_JAVASCRIPT,1748352614033-AddMcpToolEntity.ts,171,FUNCTION
MTH-C3CE1736,isNil,No description,CODE_JAVASCRIPT,1748996336492-MigrateMcpFlowsToBeTools.ts,49,FUNCTION
MTH-325CA2D5,isMcpTriggerPiece,No description,CODE_JAVASCRIPT,1748996336492-MigrateMcpFlowsToBeTools.ts,53,FUNCTION
MTH-6B4F4EFA,AddMcpFlowTools,No description,CODE_JAVASCRIPT,1748996336492-MigrateMcpFlowsToBeTools.ts,84,FUNCTION
