method_id,method_name,description,category,file_path,line_number,type
MTH-A381D8E4,jobQueueWorker,No description,CODE_JAVASCRIPT,job-queue-worker.ts,15,FUNCTION
MTH-072AFEE3,ensureWorkerExists,No description,CODE_JAVASCRIPT,job-queue-worker.ts,31,FUNCTION
MTH-4A210E04,jobQueue,No description,CODE_JAVASCRIPT,job-queue.ts,20,FUNCTION
MTH-5C23F133,ensureQueueExists,No description,CODE_JAVASCRIPT,job-queue.ts,70,FUNCTION
MTH-E35F2573,getExecuteFlowPriority,No description,CODE_JAVASCRIPT,queue-manager.ts,22,FUNCTION
MTH-43729520,getDefaultJobPriority,No description,CODE_JAVASCRIPT,queue-manager.ts,31,FUNCTION
MTH-5B59D651,setupBullMQBoard,No description,CODE_JAVASCRIPT,redis-bullboard.ts,14,FUNCTION
MTH-8AD70B2B,isQueueEnabled,No description,CODE_JAVASCRIPT,redis-bullboard.ts,16,FUNCTION
MTH-FAAD3154,projectSetKey,No description,CODE_JAVASCRIPT,worker-job-rate-limiter.ts,16,FUNCTION
MTH-AFFEAAF9,workerJobRateLimiter,No description,CODE_JAVASCRIPT,worker-job-rate-limiter.ts,18,FUNCTION
