method_id,method_name,description,category,file_path,line_number,type
MTH-F7046F4A,agentTools,No description,CODE_JAVASCRIPT,agent-tools.ts,5,FUNCTION
MTH-7B89BF16,buildInternalTools,No description,CODE_JAVASCRIPT,agent-tools.ts,24,FUNCTION
MTH-689672D1,getMcpClient,No description,CODE_JAVASCRIPT,agent-tools.ts,38,FUNCTION
MTH-BC9A9F5C,getStructuredOutput,No description,CODE_JAVASCRIPT,agent-tools.ts,53,FUNCTION
MTH-297AB14A,getPieceVersionAndArchiveId,No description,CODE_JAVASCRIPT,flow-engine-util.ts,93,FUNCTION
MTH-390C504A,getArchive,No description,CODE_JAVASCRIPT,flow-engine-util.ts,111,FUNCTION
MTH-7943DB77,isPieceStep,No description,CODE_JAVASCRIPT,flow-engine-util.ts,125,FUNCTION
MTH-AFCC9C9A,ip,No description,CODE_JAVASCRIPT,machine.ts,27,FUNCTION
MTH-90B18B02,getPublicUrl,No description,CODE_JAVASCRIPT,machine.ts,110,FUNCTION
MTH-3AC44ABB,replaceLocalhost,No description,CODE_JAVASCRIPT,machine.ts,118,FUNCTION
MTH-69337E91,removeTrailingSlash,No description,CODE_JAVASCRIPT,machine.ts,126,FUNCTION
MTH-50A31894,appendSlashAndApi,No description,CODE_JAVASCRIPT,machine.ts,130,FUNCTION
MTH-83EC0C71,getContainerMemoryUsage,No description,CODE_JAVASCRIPT,machine.ts,135,FUNCTION
MTH-B47C131F,getDiskInfo,No description,CODE_JAVASCRIPT,machine.ts,151,FUNCTION
MTH-F0023BBB,getEnvironmentVariables,No description,CODE_JAVASCRIPT,machine.ts,203,FUNCTION
MTH-12B9C17E,triggerHooks,No description,CODE_JAVASCRIPT,trigger-utils.ts,19,FUNCTION
MTH-D2988070,getTriggerPayloadsAndStatus,No description,CODE_JAVASCRIPT,trigger-utils.ts,68,FUNCTION
MTH-382CDC9B,webhookUtils,No description,CODE_JAVASCRIPT,webhook-utils.ts,12,FUNCTION
