method_id,method_name,description,category,file_path,line_number,type
MTH-2C43CF2C,mapToNewNames,No description,CODE_JAVASCRIPT,add-action-util.ts,7,FUNCTION
MTH-ADF3D1E4,replaceOldStepNameWithNewOne,No description,CODE_JAVASCRIPT,add-action-util.ts,26,FUNCTION
MTH-095C6439,clone,No description,CODE_JAVASCRIPT,add-action-util.ts,44,FUNCTION
MTH-E4EB4AB8,createAction,No description,CODE_JAVASCRIPT,add-action.ts,15,FUNCTION
MTH-5470BCC5,valid,No description,CODE_JAVASCRIPT,add-action.ts,62,FUNCTION
MTH-21C1CAA8,handleLoopOnItems,No description,CODE_JAVASCRIPT,add-action.ts,69,FUNCTION
MTH-6C0E1AC4,handleRouter,No description,CODE_JAVASCRIPT,add-action.ts,92,FUNCTION
MTH-35793D7B,_addAction,No description,CODE_JAVASCRIPT,add-action.ts,114,FUNCTION
MTH-FB8C5192,_addBranch,No description,CODE_JAVASCRIPT,add-branch.ts,8,FUNCTION
MTH-0A19D60A,_getActionsForCopy,No description,CODE_JAVASCRIPT,copy-action-operations.ts,6,FUNCTION
MTH-D5867FAE,_deleteAction,No description,CODE_JAVASCRIPT,delete-action.ts,6,FUNCTION
MTH-41748AED,_deleteBranch,No description,CODE_JAVASCRIPT,delete-branch.ts,6,FUNCTION
MTH-A5AE2DCC,_duplicateStep,No description,CODE_JAVASCRIPT,duplicate-step.ts,10,FUNCTION
MTH-DC20E380,_duplicateBranch,No description,CODE_JAVASCRIPT,duplicate-step.ts,35,FUNCTION
MTH-FFA6636F,createDeleteActionOperation,No description,CODE_JAVASCRIPT,import-flow.ts,8,FUNCTION
MTH-EA74978B,createUpdateTriggerOperation,No description,CODE_JAVASCRIPT,import-flow.ts,15,FUNCTION
MTH-FBD583D1,createChangeNameOperation,No description,CODE_JAVASCRIPT,import-flow.ts,22,FUNCTION
MTH-1C938458,_getImportOperations,No description,CODE_JAVASCRIPT,import-flow.ts,29,FUNCTION
MTH-B61401A0,removeAnySubsequentAction,No description,CODE_JAVASCRIPT,import-flow.ts,89,FUNCTION
MTH-05E5F7C0,_importFlow,No description,CODE_JAVASCRIPT,import-flow.ts,113,FUNCTION
MTH-60B7FA8B,_moveAction,No description,CODE_JAVASCRIPT,move-action.ts,10,FUNCTION
MTH-1C6519BC,isIndexWithinBounds,No description,CODE_JAVASCRIPT,move-branch.ts,7,FUNCTION
MTH-4BE13408,_moveBranch,No description,CODE_JAVASCRIPT,move-branch.ts,8,FUNCTION
MTH-981EC775,_getOperationsForPaste,No description,CODE_JAVASCRIPT,paste-operations.ts,24,FUNCTION
MTH-1B9FFF7E,_skipAction,No description,CODE_JAVASCRIPT,skip-action.ts,5,FUNCTION
MTH-EAC94B04,_updateAction,No description,CODE_JAVASCRIPT,update-action.ts,10,FUNCTION
MTH-B9D34F65,valid,No description,CODE_JAVASCRIPT,update-action.ts,69,FUNCTION
MTH-6041C6A9,createTrigger,No description,CODE_JAVASCRIPT,update-trigger.ts,11,FUNCTION
MTH-384C8C53,valid,No description,CODE_JAVASCRIPT,update-trigger.ts,35,FUNCTION
MTH-CA25D62C,_updateTrigger,No description,CODE_JAVASCRIPT,update-trigger.ts,42,FUNCTION
